match_id,selected_synergy,card_status,winner,red_cells,blue_cells,score_gap,close_le_6,turns,moves,captures,capture_cell_turns,reclaim_turns,major_capture_turns,frontline_pressure_turns,encircle_pressure_turns,cut_turns,second_player_initiative,bridges,locks,synergies,synergy_labels,combo_label_hits,combo_labels,wild_uses,seed_uses,pass_uses,word_moves,three_letter_words,three_letter_ratio,best_swing,best_word,best_labels,opening,bot_style
1,BORDER_LORD,active_scoring,DRAW,17,17,0,1,36,35,24,22,0,2,0,5,6,1,2,0,2,SYNERGY:Border Lord: center held +1T,25,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / LONG PATH / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,21,0.6,8,みなみかぜ,LONG PATH / MEGA TERRITORY / CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,うみかぜ（海風）,Builder
2,FORTIFIER,active_scoring,RED,21,16,5,1,36,35,22,22,0,0,0,4,5,1,5,0,1,SYNERGY:Fortifier: locked ground +1T,27,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,22,0.629,4,やき,CAPTURE / SWING MOVE / FIRST CAPTURE / COMEBACK / SECOND PLAYER INITIATIVE,やまみち（山道）,Defender
3,COMEBACK_SPARK,active_scoring,RED,20,15,5,1,36,35,17,17,0,0,0,4,5,1,4,0,3,SYNERGY:Comeback Spark: comeback pressure +1T,21,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,22,0.629,5,くら,SWING MOVE / CROSS WORD / COMEBACK / SECOND PLAYER INITIATIVE,そらかぜ（空）,Defender
4,BORDER_LORD,active_scoring,BLUE,19,21,2,1,36,35,20,19,0,1,0,2,0,1,2,0,2,SYNERGY:Border Lord: center held +1T,23,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,22,0.629,6,みなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Raider
5,FORTIFIER,active_scoring,RED,24,13,11,0,36,35,25,23,0,2,0,3,3,1,6,1,2,SYNERGY:Fortifier: locked ground +1T,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,24,0.686,6,はなびら,CAPTURE / MAJOR CAPTURE / SWING MOVE / COMEBACK / BRIDGE / SYNERGY:Fortifier: locked ground +1T,やまみち（山道）,Defender
6,COMEBACK_SPARK,active_scoring,BLUE,19,21,2,1,36,35,33,29,0,4,0,3,8,1,9,2,3,SYNERGY:Comeback Spark: comeback pressure +1T / SYNERGY:Comeback Spark: comeback pressure +2T,31,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / LONG PATH / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,31,0.886,6,みなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Raider
7,BORDER_LORD,active_scoring,RED,22,16,6,1,36,35,25,22,0,3,0,3,7,1,9,2,2,SYNERGY:Border Lord: center held +1T,25,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,23,0.657,6,さかなや,CAPTURE / MAJOR CAPTURE / SWING MOVE / COMEBACK / BRIDGE / CUT,やまみち（山道）,Defender
8,FORTIFIER,active_scoring,RED,21,19,2,1,36,35,19,17,0,2,0,6,3,1,3,0,0,,23,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,21,0.6,6,つなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,もりみち（森）,Builder
9,COMEBACK_SPARK,active_scoring,BLUE,16,20,4,1,36,35,24,22,0,2,0,3,8,1,6,0,0,,27,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,23,0.657,6,しみず,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,みずべ（水辺）,Defender
10,BORDER_LORD,active_scoring,RED,20,17,3,1,36,35,21,19,0,2,0,3,7,1,6,2,2,SYNERGY:Border Lord: center held +1T,23,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,19,0.543,6,しみず,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,みずべ（水辺）,Builder
